vendorID,tpepPickupDateTime,tpepDropoffDateTime,passengerCount,tripDistance,puLocationId,doLocationId,startLon,startLat,endLon,endLat,rateCodeId,storeAndFwdFlag,paymentType,fareAmount,extra,mtaTax,improvementSurcharge,tipAmount,tollsAmount,totalAmount
2,2016-01-14 13:55:36,2016-01-14 14:05:56,1,1.59,,,-73.97101593017578,40.764076232910156,-73.98235321044922,40.77812194824219,1,N,1,8.5,0.0,0.5,0.3,1.5,0.0,10.8
1,2016-01-08 14:11:01,2016-01-08 14:23:06,1,1.5,,,-73.99408721923828,40.75115966796875,-73.99420166015625,40.74504089355469,1,N,1,9.0,0.0,0.5,0.3,1.95,0.0,11.75
1,2016-01-27 07:25:27,2016-01-27 07:45:26,1,4.3,,,-73.99290466308594,40.76809310913086,-74.00373840332031,40.71723175048828,1,N,1,16.5,0.0,0.5,0.3,3.45,0.0,20.75
1,2016-01-08 00:18:22,2016-01-08 00:29:28,2,2.3,,,-73.98273468017578,40.76359939575195,-73.98033142089844,40.73931121826172,1,N,1,10.0,0.5,0.5,0.3,2.26,0.0,13.56
1,2016-01-07 19:37:20,2016-01-07 19:45:24,2,1.8,,,-73.97661590576172,40.743404388427734,-73.9830322265625,40.722469329833984,1,N,1,8.0,1.0,0.5,0.3,1.0,0.0,10.8
2,2016-01-15 12:08:00,2016-01-15 12:13:03,3,0.44,,,-73.99783325195312,40.745880126953125,-73.9906005859375,40.742679595947266,1,N,1,5.0,0.0,0.5,0.3,1.0,0.0,6.8
2,2016-01-13 04:52:32,2016-01-13 05:15:38,2,6.26,,,-73.90290069580078,40.74570083618164,-73.94265747070312,40.7889404296875,1,N,2,22.0,0.5,0.5,0.3,0.0,0.0,23.3
2,2016-01-28 00:03:58,2016-01-28 00:17:47,2,4.71,,,-73.95101165771484,40.791534423828125,-73.93817901611328,40.84560012817383,1,N,1,16.5,0.5,0.5,0.3,3.56,0.0,21.36
1,2016-01-21 13:47:15,2016-01-21 13:51:00,1,0.3,,,-73.99394989013672,40.746559143066406,-73.99456787109375,40.74332809448242,1,N,2,4.0,0.0,0.5,0.3,0.0,0.0,4.8
2,2016-01-21 22:48:47,2016-01-21 22:53:49,1,0.79,,,-73.96340942382812,40.80883026123047,-73.9599380493164,40.80119323730469,1,N,1,5.5,0.5,0.5,0.3,1.36,0.0,8.16
2,2016-01-26 21:39:28,2016-01-26 22:24:20,2,9.3,,,-73.96880340576172,40.76174545288086,-73.95880126953125,40.676475524902344,1,N,1,36.0,0.5,0.5,0.3,6.0,0.0,43.3
1,2016-01-13 17:46:30,2016-01-13 17:55:24,1,1.1,,,0.0,0.0,0.0,0.0,1,N,1,7.5,1.0,0.5,0.3,1.86,0.0,11.16
1,2016-01-21 13:19:46,2016-01-21 13:29:50,1,0.8,,,-73.9662857055664,40.76788330078125,-73.97496795654297,40.761531829833984,1,N,2,7.5,0.0,0.5,0.3,0.0,0.0,8.3
2,2016-01-04 12:49:01,2016-01-04 12:57:43,1,1.23,,,-74.00135040283203,40.72420883178711,-73.99262237548828,40.734031677246094,1,N,1,7.5,0.0,0.5,0.3,1.66,0.0,9.96
2,2016-01-05 11:48:28,2016-01-05 11:54:45,1,1.3,,,-73.91661071777344,40.74314880371094,-73.91911315917969,40.75878143310547,1,N,2,6.5,0.0,0.5,0.3,0.0,0.0,7.3
2,2016-01-08 19:55:37,2016-01-08 20:06:16,1,1.73,,,-73.99253845214844,40.723724365234375,-73.97818756103516,40.74602127075195,1,N,1,9.0,0.5,0.5,0.3,1.6,0.0,11.9
2,2016-01-05 17:14:34,2016-01-05 17:26:17,1,3.35,,,-73.99481201171875,40.760459899902344,-73.96321105957031,40.79934310913086,1,N,2,12.0,1.0,0.5,0.3,0.0,0.0,13.8
2,2016-01-22 08:26:16,2016-01-22 08:46:49,1,2.26,,,-73.98175048828125,40.77820587158203,-73.9746322631836,40.75563430786133,1,N,2,14.0,0.0,0.5,0.3,0.0,0.0,14.8
2,2016-01-08 11:50:47,2016-01-08 11:58:40,1,0.69,,,-73.97158813476562,40.75455093383789,-73.97462463378906,40.761558532714844,1,N,1,6.5,0.0,0.5,0.3,1.46,0.0,8.76
